,USAF,YR--MODAHRMN,TEMP,MAX,MIN,Celsius
2816,28450,201706090600,65.00,71.00,55.00,18
2852,28450,201706091800,69.00,74.00,65.00,21
2888,28450,201706100600,64.00,69.00,56.00,18
2924,28450,201706101800,65.00,70.00,64.00,18
2960,28450,201706110600,55.00,65.00,50.00,13
2996,28450,201706111800,53.00,58.00,53.00,12
3032,28450,201706120600,49.00,53.00,44.00,9
3068,28450,201706121800,60.00,63.00,49.00,16
3104,28450,201706130600,52.00,60.00,47.00,11
3140,28450,201706131800,57.00,59.00,51.00,14
3176,28450,201706140600,51.00,57.00,44.00,11
3212,28450,201706141800,64.00,64.00,51.00,18
3246,28450,201706150600,62.00,64.00,50.00,17
3282,28450,201706151800,64.00,69.00,62.00,18
3318,28450,201706160600,60.00,63.00,51.00,16
3354,28450,201706161800,69.00,71.00,60.00,21
3390,28450,201706170600,58.00,70.00,55.00,14
3426,28450,201706171800,65.00,68.00,58.00,18
3461,28450,201706180600,55.00,65.00,53.00,13
3497,28450,201706181800,54.00,59.00,54.00,12
3533,28450,201706190600,53.00,54.00,49.00,12
3569,28450,201706191800,58.00,61.00,53.00,14
3605,28450,201706200600,54.00,58.00,45.00,12
3641,28450,201706201800,52.00,61.00,52.00,11
3677,28450,201706210600,40.00,52.00,37.00,4
3713,28450,201706211800,40.00,46.00,39.00,4
3749,28450,201706220600,39.00,41.00,36.00,4
3785,28450,201706221800,45.00,47.00,39.00,7
3821,28450,201706230600,42.00,44.00,41.00,6
3857,28450,201706231800,50.00,51.00,42.00,10
3893,28450,201706240600,44.00,50.00,41.00,7
3929,28450,201706241800,54.00,58.00,44.00,12
3965,28450,201706250600,56.00,57.00,46.00,13
4001,28450,201706251800,51.00,60.00,50.00,11
4037,28450,201706260600,51.00,52.00,49.00,11
4096,28450,201706270600,53.00,53.00,49.00,12
4132,28450,201706271800,54.00,58.00,51.00,12
4168,28450,201706280600,49.00,54.00,47.00,9
4204,28450,201706281800,55.00,59.00,48.00,13
4240,28450,201706290600,53.00,55.00,50.00,12
4276,28450,201706291800,58.00,65.00,53.00,14
4304,28450,201706300600,62.00,62.00,51.00,17
